ip,verdict,malicious,suspicious,undetected,harmless,asn,as_owner,country,continent,network,registry,reputation,whois_org,whois_created,cert_cn,cert_issuer,cert_valid_until,cert_expired,cert_san,last_analysis,jarm,flagged_vendors_list
172.98.32.209,SUSPICIOUS,2,0,31,60,206092,F.n.s. Holdings Limited,US,NA,172.98.32.0/24,ARIN,-1,"LayerSwitch, Inc (LAYER-14)",N/A,N/A,N/A,N/A,False,,2026-01-23 16:16,N/A,GreyNoise(malicious); SOCRadar(malicious)
173.239.240.150,SUSPICIOUS,2,0,31,60,396356,Latitude.sh,US,NA,173.239.240.0/24,ARIN,0,N/A,N/A,N/A,N/A,N/A,False,,2026-02-02 16:13,N/A,GreyNoise(malicious); SOCRadar(malicious)
173.239.240.82,SUSPICIOUS,1,1,32,59,396356,Latitude.sh,US,NA,173.239.240.0/24,ARIN,-1,N/A,N/A,N/A,N/A,N/A,False,,2026-01-23 19:17,N/A,GreyNoise(suspicious); SOCRadar(malicious)
185.251.19.95,SUSPICIOUS,2,0,31,60,206092,F.n.s. Holdings Limited,US,NA,185.251.19.0/24,ARIN,0,RIPE Network Coordination Centre (RIPE),N/A,N/A,N/A,N/A,False,,2025-10-05 20:18,N/A,GreyNoise(malicious); SOCRadar(malicious)
193.143.1.33,MALICIOUS,9,1,28,55,198953,Proton66 OOO,RU,EU,193.143.1.0/24,RIPE NCC,0,ORG-PO84-RIPE,2023-04-03T14:46:27Z,campfirebowls.com,Let's Encrypt,2021-11-28 10:29:18,True,campfirebowls.com; www.campfirebowls.com,2026-02-13 17:58,3fd3fd0003fd3fd21c3fd3fd3fd3fd13049ea7a34d7a20d17818f18dcf9067,ADMINUSLabs(malicious); AlphaSOC(suspicious); CyRadar(malicious); Forcepoint ThreatSeeker(malicious); Fortinet(malicious); Kaspersky(malicious); Lionic(malicious); SOCRadar(malicious); VIPRE(malicious); alphaMountain.ai(malicious)
212.32.241.105,SUSPICIOUS,1,0,33,59,60781,LeaseWeb Netherlands B.V.,NL,EU,212.32.224.0/19,RIPE NCC,0,ORG-OB3-RIPE,2016-04-11T12:13:14Z,N/A,N/A,N/A,False,,2025-12-25 19:37,N/A,SOCRadar(malicious)
37.77.150.68,SUSPICIOUS,2,1,30,60,198953,Proton66 OOO,RU,EU,37.77.150.0/24,RIPE NCC,0,ORG-PO84-RIPE,2024-05-28T13:31:08Z,N/A,N/A,N/A,False,,2026-01-28 13:11,N/A,AlphaSOC(suspicious); MalwareURL(malicious); SOCRadar(malicious)
